name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid
J.F.K.,14017,9002Z,,Activités de soutien au spectacle vivant,2025-04-02,0,AB3BB37F-7509-F011-BAE3-000D3A669D81
MUSIC AUDIO DESIGN,14037,9002Z,,Prestations techniques pour le son,2025-04-11,0,3800CAAA-280B-F011-BAE3-000D3A669D81
MINUTE PAPILLON,14039,5920Z,,Enregistrement sonore et édition musicale,2025-05-05,0,9CDA71E5-2A0B-F011-BAE3-000D3A669D81
MARIE-ANGE KERNEIS,13340,8559A,,Organisme de formation,2024-07-19,1,6535B9D1-E83E-EF11-8409-000D3A66C40A
LA CLINIQUE DE LA JANTE,13341,4520A,,"Réparation de jantes, pare-brise",2024-07-30,0,5654C96C-EA3E-EF11-8409-000D3A66C40A
CUISINES FRUCHAUD,13048,4759A,,Commerce de détail de meubles,2024-04-29,6,21CCF17D-6FDC-EE11-904B-000D3A67C28C
FORRO IMMO,13326,6820B,,Location de terrains et d'autres biens immobiliers,2024-07-03,0,969B72F8-8238-EF11-8409-000D3A67F5CA
Forum Semacle,13334,6820B,,(Location de terrains et d'autres biens immobiliers,2024-11-19,0,49E52955-B73A-EF11-8409-000D3A67F5CA
CLMR,13931,6430Z,,Fonds de placement et entités financières similaires,2025-03-07,0,EA305759-7EF3-EF11-BE1F-000D3A6813D5
TOLMES,13130,5911A,,Production de films et de programmes pour la télévision,2024-06-04,0,31DFED5F-5DF2-EE11-904B-000D3A699925
S.B.A.O.,13083,5610A,,Restauration traditionnelle,2024-09-29,1,16332023-CCE5-EE11-904C-000D3A699925
ALGO,13085,8891A,,Accueil de jeunes enfants,2025-01-06,4,D408506F-96E6-EE11-904C-000D3A699925
NICOLAS FOURMY,13140,4391B,,Travaux de couverture par éléments,2024-04-10,0,0DF81E81-19F7-EE11-A1FD-000D3A699925
COUVERTURE CHARPENTE DE LA SARTHE,13141,4391A,,Travaux de charpente,2024-04-18,1,2A954DE8-1FF7-EE11-A1FD-000D3A699925
LANCELOT JEAN JAURES,13144,1071C,,Boulangerie et boulangerie-pâtisserie,2024-05-29,3,D7CD4700-05F8-EE11-A1FD-000D3A699925
CUISINES VINCENT,13151,7022Z,,Holding,2024-04-29,0,B7EA64F8-47FB-EE11-A1FE-000D3A699925
WEB AUTO CONCEPT,13115,4511Z,,Conseil sur solution de communication et vente dans l'univers de l'automobile,2024-04-10,0,AFB840DE-71EB-EE11-A203-000D3A699925
GENOPUS,13206,7010Z,,Activités des sièges sociaux,2024-05-24,0,D4E3413D-860C-EF11-9F89-000D3A69CF70
SCI MARAIS,13230,6820B,,Location de terrains et d'autres biens immobiliers,2024-06-10,0,1686D5D0-DA19-EF11-9F89-000D3A69CF70
ROMAIN SEILLIER,13409,1071C,,Boulangerie et boulangerie-pâtisserie,2024-09-10,1,315AC504-1C69-EF11-A670-000D3AB0190C
AU BONHEUR DU PAIN,13410,1071C,,,2024-09-09,1,2EB00348-1D69-EF11-A670-000D3AB0190C
SAINTY JC,13920,5610A,,Restauration traditionnelle,2025-04-30,1,E7A00BD8-92F2-EF11-BE1F-000D3AB026F1
FOUILLEUL Anthony,13921,4781Z,,Commerce de détail de produits alimentaires divers sur sur eventaires et marchés,2025-03-14,0,CFDA7997-9FF2-EF11-BE1F-000D3AB026F1
GALLIMARD PORTIER,11188,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2022-09-06,2,E118AA62-E800-ED11-82E5-000D3AB109EF
TOITURES PROTECT,11189,4391B,EURL,Travaux de couverture par éléments,2023-01-04,0,CC982963-2401-ED11-82E5-000D3AB109EF
LOA OPTI MOBIL,11194,4799A,EURL,Vente à domicile,2022-10-12,0,F14F51B3-A702-ED11-82E5-000D3AB109EF
AU GRAND MARCEL,13876,6820B,,Acquisition et location de biens immobiliers,2025-05-19,0,D26BF38F-57E5-EF11-9341-000D3AB1A6EB
AFC,13900,6630Z,,Gestion de fonds,2025-05-21,0,6B92C976-54ED-EF11-9341-000D3AB1A6EB
HOUGRON,13901,6420Z,,Activités des sociétés holding,2025-05-21,0,FE3B07E1-58ED-EF11-9341-000D3AB1A6EB
FREE BIKES,13902,4540Z,,Commerce et réparation de motocycles,2025-05-21,7,5F36AE25-DCED-EF11-9341-000D3AB1A6EB
MAISON GEFFARD,13904,1071C,,Boulangerie et boulangerie-pâtisserie,2025-05-21,4,2EE09C3E-0FEE-EF11-9341-000D3AB1A6EB
HOLDING GAMONSTRE,13910,7010Z,,Activités des sièges sociaux,2025-04-03,0,3DD5DCDF-DFEE-EF11-9341-000D3AB1A6EB
BAPTISTE HEUDES,13416,8622C,,Pneumologue,2024-11-28,0,6A7B860B-E569-EF11-A670-000D3AB1F2DC
PAULINE CORDON,13417,8622C,,Médecine vasculaire,2024-11-28,0,4F45AA02-E869-EF11-A670-000D3AB1F2DC
HOLDING DA SILVA,13235,6420Z,,Activités des sociétés holding,2024-06-03,0,6C314BBD-C21D-EF11-840A-000D3AB21654
PROCEUS,13216,71.12B,,Activités d'architecture,2024-05-29,1,A35E3FF5-6E13-EF11-9F89-000D3AB21654
BENZENATI HASSINA,13229,56.30Z,,Bar Tabac Presse Jeux,2024-10-09,1,EB66F796-B519-EF11-9F89-000D3AB21654
CENTRE D'IMAGERIE MEDICALE MARCEAU,11247,8621Z,,Activité des médecins généralistes,2023-09-29,10,C03113A5-EB2C-ED11-9DB1-000D3AB273BE
LA BOULANGERIE DE MARC ET LAULAU,11248,1071C,SARL,Boulangerie et Boulangerie-Pâtisserie,2022-09-22,4,B319245B-0F2D-ED11-9DB1-000D3AB273BE
JANE & HARRY,11253,8891A,SARL,Accueil de jeunes enfants,2023-04-14,8,E82E1391-912E-ED11-9DB1-000D3AB273BE
CLEMENT PAILLARD,11260,7010Z,sarl,restaurant gastronomique,2024-01-11,6,A766A721-4230-ED11-9DB1-000D3AB273BE
NOCTUA PATRIMOINE,11261,6622Z,EURL,Activités des agents et courtiers d'assurances,2023-05-10,0,CF8CCEA6-4430-ED11-9DB1-000D3AB273BE
JYRO,11246,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-09-07,0,416626B5-E82C-ED11-9DB1-000D3AB27DF4
BOURGEOIS GILLES ET VERONIQUE,11249,6820B,LMNP,Location de terrains et d'autres biens immobiliers,2022-09-30,0,625EDECE-272D-ED11-9DB1-000D3AB27DF4
I2P,13261,4331Z,,"Travaux de plâtrerie, isolation, peintures",2024-09-09,0,5BB4BA0E-B828-EF11-840A-000D3AB2ECE8
AUTO NATION 44,13278,4520A,,Entretien et réparation de véhicules automobiles légers,2024-06-28,3,49720B35-612E-EF11-840A-000D3AB2ECE8
HOLDING SANDRO,13254,70.10Z,,Holding,2024-07-19,1,CF54B95A-0024-EF11-840A-000D3AB3AECC
L'S WOOD,10010,4391A,EURL,Travaux de charpente,2021-11-03,0,77C45CB4-8510-EC11-B6E6-000D3AB46B3B
VINTAGE,13407,4725Z,,Commerce de détail de boissons en magasin spécialisé,2025-03-31,0,265EC37E-E066-EF11-BFE2-000D3AB48515
SCI AU PAYS ENCHANTE,13418,6820B,,Location de terrains et d'autres biens immobiliers,2024-11-05,0,3E6A8193-8B6A-EF11-BFE2-000D3AB48515
Le Tam's,10983,5610A,SARL,Restauration traditionnelle,2023-03-17,3,1E6A90EC-77CF-EC11-A7B5-000D3AB48B67
PHILIPPE Quentin,10988,4322A,EURL,Travaux d'installation d'eau et de gaz en tous locaux,2022-12-19,1,4DE917B1-5DD0-EC11-A7B5-000D3AB48B67
LE COIN GOURMAND,10989,1071C,SARL,Boulangerie et boulangerie-pâtisserie,2022-05-31,7,4F95FB32-F6D0-EC11-A7B5-000D3AB48B67
GUILLET ET FILS,10995,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-05-30,0,DEB9B17F-23D1-EC11-A7B5-000D3AB48B67
GUILLET MATTHIEU,11003,6820A,IND,Location de logements,2022-05-30,0,35E2CD07-29D1-EC11-A7B5-000D3AB48B67
LM and Co,11005,6820B,SCI,Location de terrains et d'autres biens immobiliers,2023-04-03,0,BBE41CD4-2ED1-EC11-A7B5-000D3AB48B67
LES ARTISTES ET PAYSAGES,11007,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-05-12,0,8EAB3A52-33D1-EC11-A7B5-000D3AB48B67
LA RELEVE 1989,10990,8211Z,SASU,Services administratifs combinés de bureau,2022-07-15,0,513B8B6B-20D1-EC11-A7B5-000D3AB48B94
IVIGO,10992,7112b,SASU,"Ingénierie, études techniques",2022-07-15,3,4A9F8512-22D1-EC11-A7B5-000D3AB48B94
ROMAIN PIOT REGIES,10997,9329Z,SASU,Autres activités récréatives et de loisirs,2022-09-02,0,110B061E-24D1-EC11-A7B5-000D3AB48B94
ECLIPSE DESIGN,10999,9004Z,SASU,Gestion de salles de spectacles,2022-09-02,0,31CCAE42-26D1-EC11-A7B5-000D3AB48B94
A SHAPE OF LIGHT,11001,5911A,SASU,Production de films et de programmes pour la télévision,2022-09-02,0,9CA56ACF-28D1-EC11-A7B5-000D3AB48B94
GB INVESTISSEMENT,06560,4120A,,Construction de maisons individuelles,2017-11-06,0,38FEEB69-32D1-EC11-A7B5-000D3AB48B94
RICHARD Marie-Laure,11008,IRPP,IND,,2022-05-19,0,A9C55D59-F3D1-EC11-A7B5-000D3AB48B94
MG SERVICES 3D,13393,8129A,,"Désinfection, désinsectisation, dératisation",2024-09-23,0,C75670DF-7B63-EF11-BFE2-000D3AB525E3
TOUJOURS PROPRE,13395,8121Z,,Nettoyage courant des bâtiments,2024-09-18,6,774C33AC-8C63-EF11-BFE2-000D3AB525E3
ADEMAN,11152,6820B,sarl,Location de terrains et d'autres biens immobiliers,2022-06-22,0,DA415576-2BF2-EC11-BB3D-000D3AB52BDE
QUELENNEC CLEMENT,11153,8690D,IND,Activités des infirmiers et des sages-femmes,2022-09-02,0,BAEAC81B-2DF2-EC11-BB3D-000D3AB52BDE
ATR ANJOU TRAVAUX RENOVATION,13792,4334Z,,Travaux de finition,2025-02-14,0,C3C0A278-D1CD-EF11-8EE9-000D3AB544FC
CHAROZE ALAIN,10958,6820A,IND,Location de logements,2022-04-29,0,ED9BE164-56CC-EC11-A7B5-000D3AB665FA
ANDRECAM,10954,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-05-16,0,52DA2D8B-7FCB-EC11-A7B5-000D3AB66EAA
CHAT DEC'WOUAF,10980,9609Z,SARL,Autres services personnels n.c.a.,2022-10-14,0,C0B6F745-1FCD-EC11-A7B5-000D3AB66EAA
PIVERT HOLD,11095,6420Z,SARL,Activités des sociétés holding,2023-07-12,1,0BB63B92-BDEB-EC11-BB3D-000D3AB6C5F6
SEIGNEURIE,11096,6420Z,SARL,Activités des sociétés holding,2022-08-22,0,A80D5953-C3EB-EC11-BB3D-000D3AB6C5F6
YAS BEAUTY STUDIO,11097,8559A,SAS,Formation continue d'adultes,2022-06-29,0,677830E2-F4EB-EC11-BB3D-000D3AB6C5F6
CAMUS,11129,6832A,SCI,Administration d'immeubles et autres biens immobiliers,2022-07-11,0,7CF42B80-4EEE-EC11-BB3D-000D3AB6C5F6
LES ETANGS,13039,6220B,,Location de terrains et d'autres biens immobiliers,2024-04-22,0,3A475554-28DA-EE11-904B-000D3AB6C803
YAVADE,11224,6420Z,SAS,Activités des sociétés holding,2022-09-30,1,898454DB-C222-ED11-B83D-000D3AB6D9D0
BOURGEOIS-BEQUIN,11227,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-09-30,0,5748F642-5124-ED11-B83D-000D3AB6D9D0
FUTUR,11225,5920Z,ASSOCIATION,Enregistrement sonore et édition musicale,2023-02-20,1,12AF5994-A623-ED11-B83D-000D3AB6DD12
BOURGEOIS GILLES,11226,2562B,SARL,Mécanique industrielle,2022-09-30,5,5410763F-AB23-ED11-B83D-000D3AB6DD12
HERISSE ROGER,11091,4332b,SARL,Travaux de menuiserie métallique et serrurerie,2022-08-22,2,BC6C537F-26EB-EC11-BB3D-000D3AB76C00
SIMONE,11106,6820B,SCI,Location de terrains et d'autres biens immobiliers,2022-06-17,0,DB56F774-8CED-EC11-BB3D-000D3AB76C00
ISHAH,11108,7010Z,SAS,Activités des sièges sociaux,2022-06-17,1,B114B15F-8FED-EC11-BB3D-000D3AB76C00
HAFU,11110,7010Z,EURL,Activités des sièges sociaux,2022-06-27,0,E76308D4-95ED-EC11-BB3D-000D3AB76C00
LA CABANE BAMBOU,11127,5630Z,SAS,Débits de boissons,2022-07-11,2,62BA08DE-2FEE-EC11-BB3D-000D3AB76C00
AUSTRY JACQUES,11128,7111Z,IND,Activités d'architecture,2022-09-02,1,0B24EA84-44EE-EC11-BB3D-000D3AB76C00
JAAP,11218,9002Z,SASU,Activités de soutien au spectacle vivant,2023-02-20,0,DEA0E9C0-891F-ED11-B83D-000D3AB7E077
TREIZESEIZE,11220,9002Z,SASU,Activités de soutien au spectacle vivant,2023-02-21,0,9BD375EF-8A1F-ED11-B83D-000D3AB7E077
SCALE OF LIGHTS,11222,9002Z,SASU,Activités de soutien au spectacle vivant,2022-09-02,0,440FBD9F-8C1F-ED11-B83D-000D3AB7E077
BLEU FUSHIA,11216,9002Z,SASU,Activités de soutien au spectacle vivant,2022-09-02,0,A0BA3273-FC1E-ED11-B83D-000D3AB7E7BC
Castellum,10660,7410Z,SASU,Activités spécialisées de design,2023-06-13,0,118337C0-5680-EC11-8D21-000D3AB8B6FE
FORINVEST,10646,6420Z,,Activités des sociétés holding,2022-11-04,0,55DA09E8-4E7F-EC11-8D21-000D3AB8B7D8
CALIPHAINE 3,10650,6420Z,,Activité des sociétés holding,2023-04-03,0,E9D87130-977F-EC11-8D21-000D3AB8B7D8
GARAGE DES FROMENTEAUX,10594,4520A,SAS,Entretien et réparation de véhicules automobiles légers,2022-10-25,3,85A5F889-C26F-EC11-8943-000D3AB92534
DNM SERVICES,14086,4321A,,Travaux d'installation électrique dans tous locaux,2025-04-24,3,53D8BA9E-D619-F011-9989-000D3AB9356C
JEANNE DE FLORE,10544,4775Z,SARL,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,2021-12-29,0,86C49C53-C95D-EC11-8F8F-000D3AB961C3
FRANCOIS RENOV,10545,4322A,EURL,Travaux d'installation d'eau et de gaz en tous locaux,2022-01-10,0,1F168538-455E-EC11-8F8F-000D3AB961C3
AUX DOUCES SAVEURS,10541,7010Z,SARL,Activités des sièges sociaux,2022-05-17,3,A00486ED-D15C-EC11-8F8F-000D3AB964FB
DAUBUS & BONDU SARL,10551,,SARL,Travaux de revêtements des sols et des murs,2022-01-31,14,91805876-DE5F-EC11-8F8F-000D3AB964FB
PITMIT,10380,6820A,sci,Location de logements,2022-04-20,0,383D219B-2958-EC11-8F8F-000D3AB99FA8
DL1 ELECTRICITE,13608,4321A,,Travaux d'installation électrique dans tous locaux,2024-11-22,1,60BD2B97-828F-EF11-8A6A-000D3AD823E5
HUET Céline,13624,8690E,,Orthoptie,2024-11-05,0,8057889C-8494-EF11-8A6A-000D3AD823E5
BTI PRO,13626,4391A,,Travaux de charpente,2024-11-08,0,B043B5A6-3D95-EF11-8A6A-000D3AD823E5
CORETEAM AO,13674,7021Z,,Conseil en relations publiques et communication,2024-11-15,9,B7D006E9-8CA2-EF11-8A6A-000D3AD823E5
LA SALAMANDRE,13589,6820B,,Location immobilière,2024-10-16,0,8A058DCC-8B85-EF11-AC20-000D3AD823E5
LOUMY,13592,,,Travaux de revêtement des sols et des murs,2024-11-28,1,99792CEC-6B86-EF11-AC20-000D3AD823E5
ASSOCIATION CULTURELLE MUSULMANE DE LA ROSERAIE,13034,9499Z,,"Organiser et coordonner des activités sociales, éducatives et culturelles",2024-07-01,0,359A70E1-37D6-EE11-904C-000D3AD82707
MB DEVELOPPEMENT,13498,4322A,,Travaux d'installation d'eau et de gaz en tous locaux,2024-12-03,9,07AF7098-486F-EF11-A670-000D3AD8AF7D
LECLERC Antonin,13507,,,Kinésithérapeuthe,2024-11-15,0,81DE1C34-0870-EF11-A670-000D3AD8AF7D
SOLEIL.FR,13535,4662Z,,Achat/Revente de matériel pour mpro,2024-09-29,0,69D028AB-EA74-EF11-A671-000D3AD8AF7D
ADLA,13536,6820B,,Location Immobilière,2024-09-29,0,F9484608-EE74-EF11-A671-000D3AD8AF7D
MARIE-MADELEINE RIGAULT,13540,6820A,,LMNP,2024-09-29,0,4DF285C1-6376-EF11-A671-000D3AD8AF7D
AMX IMMOBILIER,13544,6810Z,,Marchand de biens,2024-10-14,0,B77B05B0-7B76-EF11-A671-000D3AD8AF7D
FLORENT VIGNARD,13411,702C,,Location d'autres biens immobiliers,2024-09-30,0,C98B4BC0-3F69-EF11-BFE2-000D3AD8AF7D
VIGNARD,13412,6820B,,Location de terrains et d'autres biens immobiliers,2024-09-30,0,7664C0DB-3F69-EF11-BFE2-000D3AD8AF7D
SARL FEE DU SCRAP,13414,4778C,,Autres commerces de détail spécialisés divers,2024-11-05,5,00A75CD6-C669-EF11-BFE2-000D3AD8AF7D
MELIA,13491,,,location immobilière,2024-09-17,0,155B7871-326C-EF11-BFE2-000D3AD8AF7D
LAANY-SEAL,13492,5610C,,Restauration rapide,2024-10-10,4,E78A864E-346C-EF11-BFE2-000D3AD8AF7D
ATELIER KAIROS,10365,7111Z,EURL,Activités d'architecture,2021-12-07,0,57777893-0451-EC11-8C62-000D3AD8D81B
LUMIERE SONORE,10028,9002Z,,Activités de soutien au spectacle vivant,2022-02-21,0,41005407-2915-EC11-B6E6-000D3AD9A8B8
PIERRE & PIERRE,10036,9002Z,SASU,Activités de soutien au spectacle vivant,2022-05-11,0,FA570CEF-6115-EC11-B6E6-000D3AD9A8B8
MONTH TATTOO,10039,9609Z,,Autres services personnels n.c.a.,2022-02-21,0,3B30981C-6915-EC11-B6E6-000D3AD9A8B8
INDIVISION BEGUIN LMNP,13161,6820A,,Location meublé non professionnel,2024-07-23,0,CE99E045-6701-EF11-9F89-000D3ADA2D89
CM SERVICES,13162,4332C,,Créateur d'évènements et de publicités sur lieu de vente,2024-10-09,4,305EA285-6F01-EF11-9F89-000D3ADA2D89
ROCK A GOGO VPC SARL,13163,4791A,,Vente à distance sur catalogue général,2024-11-14,2,A1EDB04A-7701-EF11-9F89-000D3ADA2D89
TAKE EVENT,13167,9002Z,,Régie générale,2024-05-27,0,1736C2E1-D802-EF11-9F89-000D3ADA2D89
VUE D'ENSEMBLE,13169,7112B,,Prestations de services techniques liées au rigging,2024-05-13,0,11763EAE-E002-EF11-9F89-000D3ADA2D89
BEGOOD PRESTATIONS,13171,7420Z,,"Prestations liées à la photographie, la location de matériels",2024-05-13,0,9300102F-E402-EF11-9F89-000D3ADA2D89
STAGE EXPERIENCE,13173,5920Z,,Enregistrement sonore et mixage,2024-05-27,0,53A4F347-E802-EF11-9F89-000D3ADA2D89
MOONLIGHT DESIGN,13179,9002Z,,Prestations techniques liées à l'éclairage,2024-05-13,0,B6F70CD0-FC02-EF11-9F89-000D3ADA2D89
GASTALDIN NICOLAS,13156,6820A,,LMNP,2024-05-03,0,C1EA457D-68FD-EE11-A1FE-000D3ADA2D89
BS HOME COM,13625,4673A,,Commerce de gros (commerce interentreprises) de bois,2024-11-21,0,6E4D9C36-0995-EF11-8A69-000D3ADAF06F
NEWSIM,13093,6420Z,,HOLDING,2024-03-26,0,2347A700-53E8-EE11-904C-000D3ADB6C66
EXEVE,10106,6203Z,SAS,Gestion d'installations informatiques,2021-10-26,2,98D88F35-2925-EC11-B6E5-000D3ADBCB2E
BATI OCEAN,10110,4399CZ,SASU,"Maçonnerie, Gros-oeuvre, ravalement, couverture",2021-11-30,2,58A9B351-7126-EC11-B6E5-000D3ADBCB2E
SARL CDS TRAITEUR,07709,5610A,URL,,2019-07-29,0,78D077DD-DE58-EC11-8F8F-000D3ADBD6B8
BASTARD,07711,4391B,URL,Travaux de couverture par éléments,2019-06-18,5,7AD077DD-DE58-EC11-8F8F-000D3ADBD6B8
PSI,07713,4778C,SAR,Autres commerces de détail spécialisés divers,2019-06-13,7,7CD077DD-DE58-EC11-8F8F-000D3ADBD6B8
LA BAGUETTE MAGIQUE,07718,1071C,URL,,2019-05-31,0,7ED077DD-DE58-EC11-8F8F-000D3ADBD6B8
BOULANGERIE COCHET,07720,1071C,URL,Boulangerie et boulangerie-pâtisserie,2019-06-13,0,80D077DD-DE58-EC11-8F8F-000D3ADBD6B8
COADOU JEANNE,07722,6820B,SCI,Location de terrains et d'autres biens immobiliers,2020-06-26,0,82D077DD-DE58-EC11-8F8F-000D3ADBD6B8
2LAP,07723,6820A,SCI,Location de logements,2019-06-07,0,84D077DD-DE58-EC11-8F8F-000D3ADBD6B8
LA CROIX CASEAU,07724,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-05-31,0,86D077DD-DE58-EC11-8F8F-000D3ADBD6B8
CLELOU,07726,6820B,SCI,Location de terrains et d'autres biens immobiliers,2019-09-11,0,8AD077DD-DE58-EC11-8F8F-000D3ADBD6B8
JACE,07727,9329Z,URL,Autres activités récréatives et de loisirs,2019-10-24,0,8CD077DD-DE58-EC11-8F8F-000D3ADBD6B8
LES PETITS TRUCKS,07728,5630Z,URL,Débits de boissons,2019-10-24,0,8ED077DD-DE58-EC11-8F8F-000D3ADBD6B8
MAEL INVEST,07731,8211Z,SC,Services administratifs combinés de bureau,2019-10-24,0,90D077DD-DE58-EC11-8F8F-000D3ADBD6B8
